schools,us_overall_rank,us_intl_trade_rank,rank_diff
"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",17,32.0,-15.0
"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",90,108.0,-18.0
"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",37,56.0,-19.0
"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,21.0,-19.0
"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",26,50.0,-24.0
"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,35.0,-24.0
"Department of Economics, University of California-MercedMerced, California (USA)",104,129.0,-25.0
"Department of Economics, University of California-IrvineIrvine, California (USA)",29,54.0,-25.0
"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",16,45.0,-29.0
"Department of Economics, Tulane UniversityNew Orleans, Louisiana (USA)",80,110.0,-30.0
"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",39,72.0,-33.0
"Economics Department, University of RochesterRochester, New York (USA)",65,101.0,-36.0
"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",60,96.0,-36.0
"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,66.0,-38.0
"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",42,80.0,-38.0
"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",61,99.0,-38.0
"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",12,51.0,-39.0
"Department of Economics, Duke UniversityDurham, North Carolina (USA)",24,64.0,-40.0
"Department of Economics, George Washington UniversityWashington, District of Columbia (USA)",46,89.0,-43.0
"Department of Economics, Tufts UniversityMedford, Massachusetts (USA)",62,105.0,-43.0
"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,46.0,-43.0
"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",14,58.0,-44.0
"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",32,77.0,-45.0
"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",22,82.0,-60.0
"Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",56,116.0,-60.0
"Economics Department, Williams CollegeWilliamstown, Massachusetts (USA)",48,109.0,-61.0
"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",15,83.0,-68.0
"Department of Economics, University of PittsburghPittsburgh, Pennsylvania (USA)",49,120.0,-71.0
"Department of Economics, New York University (NYU)New York City, New York (USA)",10,84.0,-74.0
"Department of Economics, Iowa State UniversityAmes, Iowa (USA)",50,124.0,-74.0
"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",19,94.0,-75.0
"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",9,88.0,-79.0
"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",43,133.0,-90.0
"Department of Economics, Cornell UniversityIthaca, New York (USA)",27,,
"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",31,,
"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",33,,
"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",34,,
"Department of Economics, University of Texas-AustinAustin, Texas (USA)",36,,
"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,,
"Department of Economics, University of WashingtonSeattle, Washington (USA)",44,,
"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,,
"Department of Economics, Texas A&M UniversityCollege Station, Texas (USA)",47,,
"Division of Social Sciences, California Institute of TechnologyPasadena, California (USA)",51,,
"Economics Department, George Mason UniversityFairfax, Virginia (USA)",52,,
"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",53,,
"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",54,,
"Department of Economics, Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",57,,
"Department of Economics, University of ConnecticutStorrs, Connecticut (USA)",58,,
"Department of Economics, Emory UniversityAtlanta, Georgia (USA)",59,,
"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",64,,
"Department of Economics, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",66,,
"Economics Department, University of MissouriColumbia, Missouri (USA)",69,,
"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",70,,
"Department of Economics, University of California-RiversideRiverside, California (USA)",71,,
"Department of Economics, University of North Carolina-Chapel-HillChapel Hill, North Carolina (USA)",72,,
"Department of Economics, Florida State UniversityTallahassee, Florida (USA)",73,,
"Department of Economics, College of Business, University of WyomingLaramie, Wyoming (USA)",74,,
"Department of Economics, Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",75,,
"Department of Economics, Rice UniversityHouston, Texas (USA)",76,,
"Department of Economics, University of Illinois at ChicagoChicago, Illinois (USA)",77,,
"Department of Economics, Terry College of Business, University of GeorgiaAthens, Georgia (USA)",78,,
"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",79,,
"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",82,,
"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",83,,
"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",85,,
"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",86,,
"Department of Economics, State University of New York-Binghamton (SUNY)Binghamton, New York (USA)",87,,
"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",89,,
"Department of Economics, University of KansasLawrence, Kansas (USA)",91,,
"Department of Economics, Brigham Young UniversityProvo, Utah (USA)",95,,
"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",96,,
"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",97,,
"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",98,,
"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",99,,
"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",100,,
"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",101,,
"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",102,,
"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",103,,
"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",105,,
"Department of Economics, College of Business and Economics, West Virginia UniversityMorgantown, West Virginia (USA)",106,,
"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",107,,
"Economics Department, University of FloridaGainesville, Florida (USA)",108,,
"Economics Department, Darla Moore School of Business, University of South CarolinaColumbia, South Carolina (USA)",109,,
"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",110,,
"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",111,,
"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",112,,
"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",113,,
"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",114,,
"Economics Department, Barnard College, Columbia UniversityNew York City, New York (USA)",115,,
"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",116,,
"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",118,,
"Department of Economics, School of Business, University of MiamiCoral Gables, Florida (USA)",119,,
"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",120,,
"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",121,,
"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",122,,
"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,,
"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",125,,
"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",126,,
"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",128,,
"Department of Economics, Colgate UniversityHamilton, New York (USA)",129,,
"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",130,,
"Economics Department, University of Maryland-Baltimore CountyBaltimore, Maryland (USA)",131,,
"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",132,,
"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",134,,
"Department of Economics, Hamilton CollegeClinton, New York (USA)",135,,
"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",136,,
