,schools,rank,us_us_rank
80,"Department of Economics, Southern Methodist UniversityDallas, Texas (USA)",81,81
81,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",82,82
82,"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",83,83
83,"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",84,84
84,"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",85,85
85,"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",86,86
86,"Department of Economics, State University of New York-Binghamton (SUNY)Binghamton, New York (USA)",87,87
87,"Economics Department, University of WisconsinMilwaukee, Wisconsin (USA)",88,88
88,"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",89,89
89,"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",90,90
90,"Department of Economics, University of KansasLawrence, Kansas (USA)",91,91
91,"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",92,92
92,"Department of Economics, University of Texas-DallasDallas, Texas (USA)",93,93
93,"Department of Economics, American UniversityWashington, District of Columbia (USA)",94,94
94,"Department of Economics, Brigham Young UniversityProvo, Utah (USA)",95,95
95,"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",96,96
96,"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",97,97
97,"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",98,98
98,"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",99,99
99,"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",100,100
100,"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",101,101
101,"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",102,102
102,"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",103,103
103,"Department of Economics, University of California-MercedMerced, California (USA)",104,104
104,"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",105,105
105,"Department of Economics, College of Business and Economics, West Virginia UniversityMorgantown, West Virginia (USA)",106,106
106,"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",107,107
107,"Economics Department, University of FloridaGainesville, Florida (USA)",108,108
108,"Economics Department, Darla Moore School of Business, University of South CarolinaColumbia, South Carolina (USA)",109,109
109,"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",110,110
110,"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",111,111
111,"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",112,112
112,"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",113,113
113,"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",114,114
114,"Economics Department, Barnard College, Columbia UniversityNew York City, New York (USA)",115,115
115,"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",116,116
116,"Department of Economics, College of Business, University of Tennessee-KnoxvilleKnoxville, Tennessee (USA)",117,117
117,"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",118,118
118,"Department of Economics, School of Business, University of MiamiCoral Gables, Florida (USA)",119,119
119,"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",120,120
120,"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",121,121
121,"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",122,122
122,"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,123
123,"Economics Department, University of RichmondRichmond, Virginia (USA)",124,124
124,"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",125,125
125,"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",126,126
126,"Department of Economics, Hankamer School of Business, Baylor UniversityWaco, Texas (USA)",127,127
127,"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",128,128
128,"Department of Economics, Colgate UniversityHamilton, New York (USA)",129,129
129,"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",130,130
130,"Economics Department, University of Maryland-Baltimore CountyBaltimore, Maryland (USA)",131,131
131,"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",132,132
132,"Department of Economics, Florida International UniversityMiami, Florida (USA)",133,133
133,"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",134,134
134,"Department of Economics, Hamilton CollegeClinton, New York (USA)",135,135
135,"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",136,136
