,schools,combined
83,"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",
84,"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",
85,"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",
86,"Department of Economics, Krannert School of Management, Purdue UniversityWest Lafayette, Indiana (USA)",
87,"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",
88,"Economics Department, University of RochesterRochester, New York (USA)",
89,"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",
90,"Department of Economics, University of North Carolina-Chapel-HillChapel Hill, North Carolina (USA)",
91,"Department of Economics, College of Business, University of WyomingLaramie, Wyoming (USA)",
92,"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",
93,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",
94,"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",
95,"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",
96,"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",
97,"Economics Department, University of WisconsinMilwaukee, Wisconsin (USA)",
98,"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",
99,"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",
100,"Department of Economics, University of KansasLawrence, Kansas (USA)",
101,"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",
102,"Department of Economics, American UniversityWashington, District of Columbia (USA)",
103,"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",
104,"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",
105,"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",
106,"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",
107,"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",
108,"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",
109,"Department of Economics, University of California-MercedMerced, California (USA)",
110,"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",
111,"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",
112,"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",
113,"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",
114,"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",
115,"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",
116,"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",
117,"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",
118,"Department of Economics, College of Business, University of Tennessee-KnoxvilleKnoxville, Tennessee (USA)",
119,"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",
120,"Department of Economics, School of Business, University of MiamiCoral Gables, Florida (USA)",
121,"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",
122,"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",
123,"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",
124,"Economics Department, University of RichmondRichmond, Virginia (USA)",
125,"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",
